product_id,product_name,sku,stock,price,category_name,extracted_supplier
543,"ADAPTADOR CONVERTIDOR DE ROSCA VDE DE COLUMNA  1.25"" (VDE)",ADAPTADOR-CONVERTIDOR-DE-ROSCA-VDE-DE-COLUMNA-125-,2,399.50,,VDE
401,"Alambre Zig ZAg (Rollo 1 (9.920 kg), Rollo 2 (9.735 kg)",ALAMBRE-ZIG-ZAG-ROLLO-1-9920-KG-ROLLO-2-9735-KG,2,500.00,,9.735 kg
451,BOLSA VIVERO  15X25 (Fernanda Molina),BOLSA-VIVERO-15X25-FERNANDA-MOLINA,2,1664.90,,Fernanda Molina
590,"CABLE ROJO 10AWG 1000V SUN (50CM, 47CM, 50CM, 23CM, 20CM, 20CM)",CABLE-ROJO-10AWG-1000V-SUN-50CM-47CM-50CM-23CM-20C,2,15.00,,"50CM, 47CM, 50CM, 23CM, 20CM, 20CM"
595,CINCHOS CIN-5030 (44308),CINCHOS-CIN-5030-44308,2,,,44308
598,FUSIBLES CONNERA 10X85 (IEC60269-6) P/CAJA SHIELD,FUSIBLES-CONNERA-10X85-IEC60269-6-PCAJA-SHIELD,2,,,IEC60269-6
409,Llaves para MC4,LLAVES-PARA-MC4,2,50.00,Mangueras y Tuberías,
376,Malacate Galvanizado de 600 lbs (Doña Paula),MALACATE-GALVANIZADO-DE-600-LBS-DOÑA-PAULA,2,360.76,,Doña Paula
538,"NIPLE CUELLO DE BOTELLA VDE 1.25"" CON ABRAZADERA",NIPLE-CUELLO-DE-BOTELLA-VDE-125-CON-ABRAZADERA,2,,,
380,"POLYPATCH 10 MX4"" (POPUSA)",POLYPATCH-10-MX4-POPUSA-1,2,99.45,,POPUSA
369,"POLYPATCH 10 MX4"" (POPUSA)",POLYPATCH-10-MX4-POPUSA,2,99.45,Materiales para invernadero,POPUSA
375,Perfil cortinero Galvanizado Cal. 22 x 6m. CORTADAS A 3M (Doña Paula),PERFIL-CORTINERO-GALVANIZADO-CAL-22-X-6M-CORTADAS-,2,88.74,,Doña Paula
386,Perfil cortinero Galvanizado Cal. 22 x 6m. CORTADAS A 3M (Doña Paula),PERFIL-CORTINERO-GALVANIZADO-CAL-22-X-6M-CORTADAS--1,2,88.74,,Doña Paula
550,"Rollo de manguera verde anillada 2"" 30m (INVERTEX)",ROLLO-DE-MANGUERA-VERDE-ANILLADA-2-30M-INVERTEX,2,3960.00,,INVERTEX
573,"TORNILLOS GRADO 5 DE 3.5""",TORNILLOS-GRADO-5-DE-35,2,5.18,,
583,Tambo azul de 100 litros con cincho y tapa (INVERTEX),TAMBO-AZUL-DE-100-LITROS-CON-CINCHO-Y-TAPA-INVERTE,2,290.00,,INVERTEX
537,"ADAPTADOR CUELLO DE BOTELLA DE 2"" (Tornillo)",ADAPTADOR-CUELLO-DE-BOTELLA-DE-2-TORNILLO,1,45.00,,Tornillo
534,"ADAPTADOR HEMBRA DE 1"" PVC",ADAPTADOR-HEMBRA-DE-1-PVC,1,,,
532,"ADAPTADOR MACHO DE 1 1/4 "" PVC (Riegos Del Norte)",ADAPTADOR-MACHO-DE-1-14-PVC-RIEGOS-DEL-NORTE,1,8.00,,Riegos Del Norte
533,"ADAPTADOR MACHO DE 1/2 "" PVC (Riegos Del Norte)",ADAPTADOR-MACHO-DE-12-PVC-RIEGOS-DEL-NORTE,1,5.00,,Riegos Del Norte
